Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Helping hands","I need it to solder my pcb",1,16.99,"https://www.amazon.com/XYK-Helping-Soldering-Flexible-Electronic/dp/B0BHHVP467/ref=sr_1_10?sr=8-10","Amazon"
"Heat gun soldering station","To solder my pcb",1,35.49,"https://www.amazon.com/Soldering-Station-Electric-Temperature-Functions/dp/B0DP73JYDB/ref=sr_1_14?sr=8-14#averageCustomerReviewsAnchor","Amazon"
"Hot Plate","To solder my pcb",1,29.99,"https://www.amazon.com/Soldering-Microcomputer-Technicians-Electronics-Enthusiasts/dp/B0G443BG4X/ref=sr_1_3?sr=8-3","Amazon"
"tmc2209-la-t","To drive my motor",5,16.22,"https://www.aliexpress.us/item/3256810347096939.html?spm=a2g0o.productlist.main.3.f459uIGluIGlrW&algo_pvid=34762466-552b-4d75-8ff6-06ada6b65383&algo_exp_id=34762466-552b-4d75-8ff6-06ada6b65383-2&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.22%2116.22%21%21%21110.29%21110.29%21%402101f54117779544242796197e1e0d%2112000052732899493%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8962c7cf%3Bm03_new_user%3A-29895&curPageLogUid=BgZfQMcNk5lT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010533411691%7C_p_origin_prod%3A","aliexpress"
"CAP CER 0.1UF 50V X7R 0402","",50,0.81,"https://www.digikey.com/en/products/result?keywords=490-10700-1-ND",""
"CAP CER 0.022UF 50V X7R 0402","",50,1.01,"https://www.digikey.com/en/products/result?keywords=490-4763-1-ND",""
"CAP CER 10UF 16V X5R 0805","",10,0.54,"https://www.digikey.com/en/products/result?keywords=1276-1096-1-ND",""
"TERM BLK 2POS SIDE ENT 3.5MM PCB","",1,1.46,"https://www.digikey.com/en/products/result?keywords=277-1721-ND",""
"TERM BLK 3POS SIDE ENT 3.5MM PCB","",1,2.10,"https://www.digikey.com/en/products/result?keywords=277-1722-ND",""
"TERM BLK 4POS SIDE ENT 3.5MM PCB","",5,13.45,"https://www.digikey.com/en/products/result?keywords=277-1860-ND",""
"RES 0.1 OHM 0.5% 1/2W 1206","",25,3.00,"https://www.digikey.com/en/products/result?keywords=273-KDV12DR100ETCT-ND",""
"RES 5.1K OHM 1% 1/16W 0402","",25,0.37,"https://www.digikey.com/en/products/result?keywords=311-5.10KLRCT-ND",""
"RES 10K OHM 1% 1/16W 0402","",25,0.59,"https://www.digikey.com/en/products/result?keywords=541-10.0KLCT-ND",""
"RES 100K OHM 1% 1/16W 0402","",25,0.37,"https://www.digikey.com/en/products/result?keywords=311-100KLRCT-ND",""
"RES 1K OHM 1% 1/16W 0402","",25,0.37,"https://www.digikey.com/en/products/result?keywords=311-1.00KLRCT-ND",""
"IC REG LINEAR 3.3V 1A SOT-223","",10,2.62,"https://www.digikey.com/en/products/result?keywords=NCP1117LPST33T3GOSCT-ND",""
"UNIDIR PRECISION SURGE DIODE","",2,2.06,"https://www.digikey.com/en/products/result?keywords=296-50511-1-ND","Digikey"
"CONN RCPT USB2.0 TYPE C 16+8POS","",2,2.15,"https://www.digikey.com/en/products/result?keywords=2073-USB4085-GF-ACT-ND",""
"SWITCH TACTILE SPST-NO 0.05A 32V","",10,5.81,"https://www.digikey.com/en/products/result?keywords=CKN10285CT-ND",""
"RF TXRX MODULE BT PCB TRACE SMD","",1,5.21,"https://www.digikey.com/en/products/result?keywords=1965-ESP32-S3-WROOM-1-N4CT-ND","digikey"
"3mmx75mm rod","for my gripper",1,9.19,"https://www.amazon.com/gp/product/B08M3VXR6W/ref=ox_sc_act_title_1?smid=A1THAZDOWP300U","amazon"
"steel rods","for my gearbox",25,4.44,"https://www.amazon.com/TOP-VIGOR-Support-Stainless-Cylindrical-Elements/dp/B0D5CHMG2C/ref=sr_1_1_sspa?s=industrial&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY","amazon"
"bushings","for my gear box",10,1.75,"https://www.aliexpress.us/item/3256803849223368.html?spm=a2g0o.cart.0.0.736038daLHQ16U&mp=1&pdp_npi=6%40dis%21USD%21USD+1.94%21USD+1.75%21%21USD+1.75%21%21%21%402101d9ef17774314135042461ee83f%2112000027814787044%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa","aliexpress"
"6805 bearings","for my gearbox",4,3.52,"https://www.aliexpress.us/item/3256806312258090.html?spm=a2g0o.cart.0.0.736038daLHQ16U&mp=1&pdp_npi=6%40dis%21USD%21USD+14.37%21USD+3.52%21%21USD+3.52%21%21%21%402101d9ef17774314135042461ee83f%2112000037423455454%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa","aliexpress"
"li ion batteries","batteries to power my robot arm",1,9.51,"https://www.aliexpress.us/item/3256810317114752.html?spm=a2g0o.productlist.main.3.49a174e6owKrBA&algo_pvid=4c6d8d58-91ef-4053-b265-a8b2d96c121c&algo_exp_id=4c6d8d58-91ef-4053-b265-a8b2d96c121c-2&pdp_ext_f=%7B%22order%22%3A%224015%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.87%219.81%21%21%21114.67%2166.67%21%402101eecd17779545672443227e2705%2112000052610983943%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8962c7cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=wJq9dV0At72m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010503429504%7C_p_origin_prod%3A","aliexpress"
"ds3225","gripper motor",1,16.99,"https://www.amazon.com/gp/product/B0CNTG877G/ref=ox_sc_act_title_1?smid=A1PKC2PUMNR8VD","amazon"
"HEAT SET INSERTS ","To assemble my robot arm",1,9.98,"https://www.amazon.com/M2-M2-5-M3-Threaded-Inserts/dp/B0FH4JQ3VB/ref=sr_1_4?sr=8-4","amazon"
"JLCPCB","To put my components on",1,9.11,"https://trade.jlcpcb.com/checkout/payMethod?systemType=order_pcb&calType=PAY&batchNum=W2026042809527003&spm=Jlcpcb.Confirmorder.1001","jlcpcb"
"NEMA 17 motor thin","For the arms",5,17.50,"https://www.alibaba.com/product-detail/Special-Offer-26mm-Length-NEMA-17_1601043669710.html?spm=a2700.prosearch.normal_offer.d_title.659167afAhymea&priceId=58dcbf79d3ef4e1099ae55c89d924238","Alibaba"
"M2-M5 assortment screws","To screw pcb, battery holders, and",1,12.38,"https://www.amazon.com/Countersunk-Assortment-Phillips-Machine-Washers/dp/B0F87JTJ6T/ref=sr_1_3?sr=8-3","Amazon"
"mr105","bearings for high torque load",1,8.79,"https://www.amazon.com/MR105-2RS-Deep-Groove-Ball-Bearings/dp/B0DXZNSMJC/ref=sr_1_6?sr=8-6","amazon"

$294.78
